Datum;Cas od;Cas do;IN-859182400611454266-D;OUT-859182400611454266-D;IN-859182400611943234-O;OUT-859182400611943234-O;IN-859182400611943241-O;OUT-859182400611943241-O;IN-859182400611943258-O;OUT-859182400611943258-O;IN-859182400611943265-O;OUT-859182400611943265-O;IN-859182400611943272-O;OUT-859182400611943272-O;IN-859182400611943470-O;OUT-859182400611943470-O;IN-859182400611943487-O;OUT-859182400611943487-O;IN-859182400611943500-O;OUT-859182400611943500-O;IN-859182400611944118-O;OUT-859182400611944118-O;IN-859182400611944149-O;OUT-859182400611944149-O;IN-859182400611944156-O;OUT-859182400611944156-O;IN-859182400611944163-O;OUT-859182400611944163-O;IN-859182400611944170-O;OUT-859182400611944170-O;IN-859182400611944187-O;OUT-859182400611944187-O;IN-859182400611944194-O;OUT-859182400611944194-O;IN-859182400611944200-O;OUT-859182400611944200-O;IN-859182400611944316-O;OUT-859182400611944316-O;IN-859182400611944323-O;OUT-859182400611944323-O;IN-859182400611944347-O;OUT-859182400611944347-O;IN-859182400611944354-O;OUT-859182400611944354-O;IN-859182400611944361-O;OUT-859182400611944361-O;IN-859182400611944378-O;OUT-859182400611944378-O;IN-859182400611944385-O;OUT-859182400611944385-O;IN-859182400611944392-O;OUT-859182400611944392-O;IN-859182400611944620-O;OUT-859182400611944620-O;IN-859182400611944637-O;OUT-859182400611944637-O;IN-859182400611944644-O;OUT-859182400611944644-O
01.07.2026;00:00;00:15;0,0;0,0;-0,16;-0,16;-0,02;-0,02;0,0;0,0;-0,01;-0,01;0,0;0,0;-0,22;-0,22;-0,03;-0,03;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-0,06;-0,06;0,0;0,0;-0,05;-0,05;-0,05;-0,05;0,0;0,0;-0,01;-0,01;-0,01;-0,01;-0,04;-0,04;-0,01;-0,01;-0,02;-0,02;0,0;0,0;0,0;0,0;0,0;0,0;-0,02;-0,02
01.07.2026;00:15;00:30;0,0;0,0;-0,16;-0,16;-0,02;-0,02;0,0;0,0;-0,02;-0,02;0,0;0,0;-0,02;-0,02;-0,03;-0,03;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-0,02;-0,02;0,0;0,0;-0,2;-0,2;0,0;0,0;-0,05;-0,05;-0,05;-0,05;0,0;0,0;-0,02;-0,02;-0,01;-0,01;-0,03;-0,03;-0,02;-0,02;-0,02;-0,02;0,0;0,0;0,0;0,0;-0,01;-0,01;-0,01;-0,01
01.07.2026;00:30;00:45;0,0;0,0;-0,15;-0,15;-0,02;-0,02;0,0;0,0;-0,01;-0,01;0,0;0,0;-0,01;-0,01;-0,02;-0,02;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-0,02;-0,02;0,0;0,0;-0,2;-0,2;0,0;0,0;-0,04;-0,04;-0,04;-0,04;0,0;0,0;-0,01;-0,01;-0,01;-0,01;-0,02;-0,02;-0,01;-0,01;-0,01;-0,01;0,0;0,0;0,0;0,0;-0,01;-0,01;-0,02;-0,02
01.07.2026;00:45;01:00;0,0;0,0;-0,16;-0,16;-0,03;-0,03;0,0;0,0;-0,01;-0,01;0,0;0,0;-0,01;-0,01;-0,03;-0,03;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-0,01;-0,01;0,0;0,0;-0,1;-0,1;0,0;0,0;-0,06;-0,06;-0,05;-0,05;0,0;0,0;-0,01;-0,01;-0,02;-0,02;-0,03;-0,03;-0,01;-0,01;-0,02;-0,02;0,0;0,0;0,0;0,0;0,0;0,0;-0,02;-0,02
01.07.2026;01:00;01:15;0,0;0,0;-0,15;-0,15;-0,03;-0,03;0,0;0,0;-0,02;-0,02;0,0;0,0;-0,01;-0,01;-0,03;-0,03;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-0,12;-0,12;0,0;0,0;-0,05;-0,05;-0,02;-0,02;0,0;0,0;0,0;0,0;0,0;0,0;-0,02;-0,02;-0,01;-0,01;-0,01;-0,01;0,0;0,0;0,0;0,0;-0,01;-0,01;-0,03;-0,03
01.07.2026;01:15;01:30;0,0;0,0;-0,16;-0,16;-0,02;-0,02;0,0;0,0;-0,01;-0,01;0,0;0,0;-0,01;-0,01;-0,02;-0,02;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-0,01;-0,01;0,0;0,0;-0,13;-0,13;0,0;0,0;-0,06;-0,06;-0,03;-0,03;0,0;0,0;-0,02;-0,02;-0,01;-0,01;-0,04;-0,04;-0,01;-0,01;-0,02;-0,02;0,0;0,0;0,0;0,0;-0,01;-0,01;-0,02;-0,02
01.07.2026;01:30;01:45;0,0;0,0;-0,17;-0,17;-0,01;-0,01;0,0;0,0;-0,02;-0,02;0,0;0,0;-0,01;-0,01;-0,03;-0,03;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-0,02;-0,02;0,0;0,0;-0,07;-0,07;0,0;0,0;-0,05;-0,05;-0,02;-0,02;0,0;0,0;0,0;0,0;-0,02;-0,02;-0,07;-0,07;-0,01;-0,01;-0,02;-0,02;-0,01;-0,01;0,0;0,0;0,0;0,0;-0,02;-0,02
01.07.2026;01:45;02:00;0,0;0,0;-0,18;-0,18;-0,02;-0,02;0,0;0,0;-0,03;-0,03;-0,01;-0,01;-0,01;-0,01;-0,03;-0,03;-0,01;-0,01;0,0;0,0;-0,01;-0,01;0,0;0,0;-0,01;-0,01;0,0;0,0;-0,05;-0,05;-0,01;-0,01;-0,06;-0,06;-0,02;-0,02;0,0;0,0;-0,01;-0,01;0,0;0,0;-0,03;-0,03;-0,01;-0,01;-0,01;-0,01;0,0;0,0;0,0;0,0;0,0;0,0;-0,03;-0,03
01.07.2026;02:00;02:15;0,0;0,0;-0,15;-0,15;-0,03;-0,03;0,0;0,0;0,0;0,0;0,0;0,0;-0,01;-0,01;-0,02;-0,02;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-0,05;-0,05;0,0;0,0;-0,06;-0,06;-0,02;-0,02;0,0;0,0;-0,02;-0,02;-0,01;-0,01;-0,03;-0,03;-0,01;-0,01;-0,02;-0,02;0,0;0,0;0,0;0,0;-0,01;-0,01;-0,02;-0,02
01.07.2026;02:15;02:30;0,0;0,0;-0,15;-0,15;-0,02;-0,02;-0,01;-0,01;-0,01;-0,01;0,0;0,0;-0,01;-0,01;-0,03;-0,03;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-0,01;-0,01;-0,01;-0,01;-0,07;-0,07;0,0;0,0;-0,06;-0,06;-0,02;-0,02;0,0;0,0;-0,01;-0,01;-0,01;-0,01;-0,03;-0,03;-0,01;-0,01;-0,02;-0,02;0,0;0,0;-0,01;-0,01;-0,01;-0,01;-0,01;-0,01
