Datum;Cas od;Cas do;IN-859182400611447671-D;OUT-859182400611447671-D;IN-859182400611941780-O;OUT-859182400611941780-O;IN-859182400611941797-O;OUT-859182400611941797-O;IN-859182400611941803-O;OUT-859182400611941803-O;IN-859182400611943012-O;OUT-859182400611943012-O;IN-859182400611943029-O;OUT-859182400611943029-O;IN-859182400611943036-O;OUT-859182400611943036-O;IN-859182400611943043-O;OUT-859182400611943043-O;IN-859182400611943050-O;OUT-859182400611943050-O;IN-859182400611943067-O;OUT-859182400611943067-O;IN-859182400611943074-O;OUT-859182400611943074-O;IN-859182400611943081-O;OUT-859182400611943081-O;IN-859182400611943098-O;OUT-859182400611943098-O;IN-859182400611943104-O;OUT-859182400611943104-O;IN-859182400611943111-O;OUT-859182400611943111-O;IN-859182400611943128-O;OUT-859182400611943128-O;IN-859182400611943135-O;OUT-859182400611943135-O;IN-859182400611943142-O;OUT-859182400611943142-O;IN-859182400611943159-O;OUT-859182400611943159-O;IN-859182400611943166-O;OUT-859182400611943166-O;IN-859182400611943173-O;OUT-859182400611943173-O;IN-859182400611943180-O;OUT-859182400611943180-O;IN-859182400611943197-O;OUT-859182400611943197-O;IN-859182400611943203-O;OUT-859182400611943203-O;IN-859182400611943210-O;OUT-859182400611943210-O;IN-859182400611943227-O;OUT-859182400611943227-O;IN-859182400611944408-O;OUT-859182400611944408-O;IN-859182400611944613-O;OUT-859182400611944613-O
01.07.2026;00:00;00:15;0,0;0,0;0,0;0,0;-0,02;-0,02;-0,09;-0,09;0,0;0,0;0,0;0,0;-0,04;-0,04;-0,01;-0,01;-0,15;-0,15;-0,02;-0,02;0,0;0,0;-0,01;-0,01;0,0;0,0;-0,01;-0,01;-0,01;-0,01;-0,01;-0,01;-0,01;-0,01;-0,12;-0,12;-0,02;-0,02;-0,02;-0,02;-0,01;-0,01;-0,02;-0,02;-0,01;-0,01;-0,01;-0,01;-0,02;-0,02;-0,22;-0,22;-0,02;-0,02;0,0;0,0
01.07.2026;00:15;00:30;0,0;0,0;0,0;0,0;-0,02;-0,02;-0,08;-0,08;0,0;0,0;0,0;0,0;-0,03;-0,03;-0,01;-0,01;-0,17;-0,17;-0,01;-0,01;0,0;0,0;-0,01;-0,01;0,0;0,0;-0,01;-0,01;-0,01;-0,01;-0,04;-0,04;-0,01;-0,01;-0,03;-0,03;-0,01;-0,01;-0,03;-0,03;-0,01;-0,01;-0,02;-0,02;-0,01;-0,01;-0,01;-0,01;-0,02;-0,02;-0,24;-0,24;-0,01;-0,01;0,0;0,0
01.07.2026;00:30;00:45;0,0;0,0;-0,01;-0,01;-0,02;-0,02;-0,18;-0,18;0,0;0,0;-0,01;-0,01;-0,05;-0,05;-0,01;-0,01;-0,03;-0,03;-0,02;-0,02;-0,02;-0,02;0,0;0,0;0,0;0,0;-0,01;-0,01;-0,02;-0,02;-0,02;-0,02;-0,02;-0,02;-0,03;-0,03;-0,02;-0,02;-0,02;-0,02;-0,01;-0,01;0,0;0,0;-0,01;-0,01;-0,01;-0,01;-0,02;-0,02;-0,03;-0,03;-0,12;-0,12;0,0;0,0
01.07.2026;00:45;01:00;0,0;0,0;0,0;0,0;-0,02;-0,02;-0,07;-0,07;0,0;0,0;0,0;0,0;-0,05;-0,05;-0,01;-0,01;-0,04;-0,04;-0,01;-0,01;-0,02;-0,02;-0,01;-0,01;0,0;0,0;-0,02;-0,02;-0,01;-0,01;-0,01;-0,01;-0,01;-0,01;-0,03;-0,03;-0,01;-0,01;-0,02;-0,02;-0,01;-0,01;-0,01;-0,01;-0,01;-0,01;-0,01;-0,01;-0,02;-0,02;-0,01;-0,01;-0,05;-0,05;0,0;0,0
01.07.2026;01:00;01:15;0,0;0,0;0,0;0,0;-0,03;-0,03;-0,06;-0,06;0,0;0,0;0,0;0,0;-0,03;-0,03;-0,01;-0,01;-0,14;-0,14;-0,02;-0,02;-0,01;-0,01;-0,01;-0,01;0,0;0,0;0,0;0,0;-0,01;-0,01;-0,02;-0,02;-0,01;-0,01;-0,01;-0,01;-0,01;-0,01;-0,03;-0,03;-0,01;-0,01;-0,03;-0,03;-0,02;-0,02;-0,02;-0,02;-0,03;-0,03;-0,02;-0,02;-0,01;-0,01;0,0;0,0
01.07.2026;01:15;01:30;0,0;0,0;-0,01;-0,01;-0,02;-0,02;-0,06;-0,06;0,0;0,0;-0,01;-0,01;-0,04;-0,04;-0,01;-0,01;-0,31;-0,31;-0,01;-0,01;-0,02;-0,02;-0,01;-0,01;0,0;0,0;-0,01;-0,01;-0,01;-0,01;-0,02;-0,02;0,0;0,0;-0,02;-0,02;-0,02;-0,02;-0,02;-0,02;-0,01;-0,01;-0,02;-0,02;0,0;0,0;-0,01;-0,01;-0,02;-0,02;-0,01;-0,01;-0,01;-0,01;0,0;0,0
01.07.2026;01:30;01:45;0,0;0,0;0,0;0,0;-0,03;-0,03;-0,06;-0,06;0,0;0,0;0,0;0,0;-0,04;-0,04;0,0;0,0;-0,04;-0,04;-0,02;-0,02;-0,01;-0,01;0,0;0,0;0,0;0,0;-0,01;-0,01;-0,01;-0,01;0,0;0,0;-0,01;-0,01;-0,02;-0,02;-0,01;-0,01;-0,02;-0,02;-0,01;-0,01;-0,01;-0,01;-0,02;-0,02;-0,01;-0,01;-0,02;-0,02;-0,01;-0,01;-0,02;-0,02;0,0;0,0
01.07.2026;01:45;02:00;0,0;0,0;0,0;0,0;-0,01;-0,01;-0,06;-0,06;0,0;0,0;0,0;0,0;-0,04;-0,04;-0,02;-0,02;-0,03;-0,03;-0,02;-0,02;-0,02;-0,02;-0,01;-0,01;0,0;0,0;-0,02;-0,02;-0,01;-0,01;-0,02;-0,02;-0,01;-0,01;-0,02;-0,02;-0,02;-0,02;-0,03;-0,03;-0,01;-0,01;-0,01;-0,01;-0,01;-0,01;-0,01;-0,01;-0,02;-0,02;-0,01;-0,01;-0,01;-0,01;0,0;0,0
01.07.2026;02:00;02:15;0,0;0,0;0,0;0,0;0,0;0,0;-0,06;-0,06;0,0;0,0;0,0;0,0;-0,04;-0,04;0,0;0,0;-0,02;-0,02;-0,03;-0,03;-0,01;-0,01;-0,01;-0,01;0,0;0,0;-0,01;-0,01;-0,01;-0,01;-0,01;-0,01;-0,02;-0,02;-0,02;-0,02;-0,02;-0,02;-0,02;-0,02;-0,01;-0,01;-0,01;-0,01;-0,01;-0,01;-0,02;-0,02;-0,02;-0,02;-0,01;-0,01;-0,01;-0,01;0,0;0,0
01.07.2026;02:15;02:30;0,0;0,0;-0,01;-0,01;-0,01;-0,01;-0,06;-0,06;0,0;0,0;0,0;0,0;-0,04;-0,04;-0,01;-0,01;-0,01;-0,01;-0,02;-0,02;-0,02;-0,02;-0,01;-0,01;0,0;0,0;0,0;0,0;-0,01;-0,01;-0,01;-0,01;0,0;0,0;-0,02;-0,02;0,0;0,0;-0,02;-0,02;-0,01;-0,01;-0,03;-0,03;-0,01;-0,01;0,0;0,0;-0,03;-0,03;-0,01;-0,01;-0,01;-0,01;0,0;0,0
